线路号: 103
车辆编号	驾驶员编号
27712	9001161.0
27740	9017717.0
27727	9017963.0
27733	9001090.0
27715	9016997.0
27735	9001118.0
27716	9011017.0
27704	9001066.0
27741	9001070.0
27711	90802229.0
27730	9017964.0
27706	9017355.0
27728	9001090.0
27722	9001057.0
27721	9001086.0
27713	9017544.0
27726	9011017.0
27720	9001135.0
27734	9001127.0
27710	9001163.0
27738	9001126.0
27707	9018168.0
27711	9001087.0
27731	9001130.0
27738	9001154.0
27728	9017543.0
27704	9018169.0
27736	9011017.0
27736	9001158.0
27730	9001163.0
