线路号: 107
车辆编号	驾驶员编号
21827	9001563.0
21741	9001537.0
21832	9001529.0
21838	9001551.0
21839	9017839.0
21752	9001571.0
21833	9001505.0
21836	9011151.0
21739	9001555.0
21840	9001581.0
21825	9001592.0
21737	9001518.0
21823	9001593.0
21742	9017028.0
21834	9017618.0
21829	9001548.0
21737	9001586.0
21831	9001549.0
21839	9017472.0
21739	9001536.0
21827	9001526.0
21823	9001991.0
21826	9001547.0
21682	9004143.0
21829	9001542.0
21742	9001558.0
21752	9001564.0
21840	9011241.0
21741	9001533.0
21838	9001559.0
21825	9001577.0
21833	9001579.0
21830	9017286.0
21831	9001510.0
21826	90806212.0
21824	9017473.0
21836	9001572.0
21826	9001586.0
21740	9001543.0
